id,rule_set_version,accuracy_class,load_band_min_e,load_band_max_e,mpe_multiplier_of_e,source
TR-I-01,R76-1:2006,I,0,50000,0.5,OIML R76-1 Table 6
TR-I-02,R76-1:2006,I,50000,200000,1.0,OIML R76-1 Table 6
TR-I-03,R76-1:2006,I,200000,,1.5,OIML R76-1 Table 6
TR-II-01,R76-1:2006,II,0,5000,0.5,OIML R76-1 Table 6
TR-II-02,R76-1:2006,II,5000,20000,1.0,OIML R76-1 Table 6
TR-II-03,R76-1:2006,II,20000,100000,1.5,OIML R76-1 Table 6
TR-III-01,R76-1:2006,III,0,500,0.5,OIML R76-1 Table 6
TR-III-02,R76-1:2006,III,500,2000,1.0,OIML R76-1 Table 6
TR-III-03,R76-1:2006,III,2000,10000,1.5,OIML R76-1 Table 6
TR-IIII-01,R76-1:2006,IIII,0,50,0.5,OIML R76-1 Table 6
TR-IIII-02,R76-1:2006,IIII,50,200,1.0,OIML R76-1 Table 6
TR-IIII-03,R76-1:2006,IIII,200,1000,1.5,OIML R76-1 Table 6
