serial_no,issue_date,file_number,company_name,equipment,certificate_no,online_application_no,pdf_url
1,2026-01-01,I-21/371/2025-W&M Section,GOONJ COMMUNICATION & ELECTRONIC SCALE CO.,Any other Weight or Measure,1,23611,https://lm.doca.gov.in/ModelApproval/Certificates/2026/1.pdf
2,2026-01-01,I-21/1/2026-W&M,NILKANTH DIGITAL SCALE CO.,Non-automatic weighing instrument,2,23672,https://lm.doca.gov.in/ModelApproval/Certificates/2026/2.pdf
3,2026-01-01,I-21/1/2026-W&M,NILKANTH DIGITAL SCALE CO.,Non-automatic weighing instrument,3,23676,https://lm.doca.gov.in/ModelApproval/Certificates/2026/3.pdf
4,2026-01-07,I-21/2/2026-W&M Section,QUANTICA ENGINEERING WORKS PRIVATE LIMITED,Non-automatic weighing instrument,23621,23621,https://lm.doca.gov.in/ModelApproval/Certificates/2026/23621.pdf
5,2026-01-07,I-21/5/2026-W&M Section,MAKITA POWER TOOLS INDIA PRIVATE LIMITED,Measuring tape,5,23585,https://lm.doca.gov.in/ModelApproval/Certificates/2026/5.pdf
6,2026-01-07,I-21/380/2025-W&M Section,Minebea Intec India Private Limited.,Any other Weight or Measure,6,15364,https://lm.doca.gov.in/ModelApproval/Certificates/2026/6.pdf
7,2026-01-07,I-21/346/2025-W&M Section,MADURAI METRIC WORKS,Non-automatic weighing instrument,7,23486,https://lm.doca.gov.in/ModelApproval/Certificates/2026/7.pdf
8,2026-01-07,I-21/346/2025-W&M Section,MADURAI METRIC WORKS,Non-automatic weighing instrument,8,23487,https://lm.doca.gov.in/ModelApproval/Certificates/2026/8.pdf
9,2026-01-07,I-21/372/2025-W&M Section,AXPERT ENTERPRISE,Non-automatic weighing instrument,9,23511,https://lm.doca.gov.in/ModelApproval/Certificates/2026/9.pdf
10,2026-01-07,I-21/372/2025-W&M Section,AXPERT ENTERPRISE,Non-automatic weighing instrument,10,23512,https://lm.doca.gov.in/ModelApproval/Certificates/2026/10.pdf
11,2026-01-07,I-21/372/2025-W&M Section,AXPERT ENTERPRISE,Non-automatic weighing instrument,11,23523,https://lm.doca.gov.in/ModelApproval/Certificates/2026/11.pdf
12,2026-01-07,I-21/372/2025-W&M Section,AXPERT ENTERPRISE,Non-automatic weighing instrument,12,23524,https://lm.doca.gov.in/ModelApproval/Certificates/2026/12.pdf
13,2026-01-07,I-21/352/2025-W&M Section,VAIGAI ELECTRONICS,Non-automatic weighing instrument,13,23488,https://lm.doca.gov.in/ModelApproval/Certificates/2026/13.pdf
14,2026-01-07,I-21/361/2025-W&M Section,PESER AUTOMATION AND DIGITAL SYSTEMS (OPC) PRIVATE LIMITED,Any other Weight or Measure,14,22078,https://lm.doca.gov.in/ModelApproval/Certificates/2026/14.pdf
15,2026-01-07,I-21/381/2025-W&M Section,ESSAE DIGITRONICS PRIVATE LIMITED,Automatic Gravimetric Filling Instrument,15,17297,https://lm.doca.gov.in/ModelApproval/Certificates/2026/15.pdf
16,2026-01-08,I-21/313/2025-W&M Section,PRAYAS ENGINEERING LIMITED,Any other Weight or Measure,16,22131,https://lm.doca.gov.in/ModelApproval/Certificates/2026/16.pdf
